Player,Play Style,Winners/UFE Ratio,Final Number of Games Won,Aces Won,Double Faults,Unforced Errors,,,
Benoit Paire,Aggressive Baseliner,1,2,29,11,26,,,
Benoit Paire,Aggressive Baseliner,0.525423729,0,13,3,59,,,
Benoit Paire,Aggressive Baseliner,0.5625,0,6,9,64,,,
Benoit Paire,Aggressive Baseliner,0.847826087,2,6,2,46,,,
Benoit Paire,Aggressive Baseliner,1.542857143,0,9,3,35,,,
Benoit Paire,Aggressive Baseliner,1.733333333,3,32,5,45,,,
Benoit Paire,Aggressive Baseliner,2.32,3,24,6,25,,,
David Goffin,Aggressive Baseliner,1,0,7,8,34,,,
David Goffin,Aggressive Baseliner,0.842105263,1,7,2,38,,,
Dominic Thiem,Aggressive Baseliner,1.333333333,0,10,3,21,,,
Dominic Thiem,Aggressive Baseliner,6.666666667,3,20,3,3,,,
Dusan Lajovic,Defensive Baseliner,0.346938776,0,7,3,49,,,
Dusan Lajovic,Defensive Baseliner,0.49122807,3,7,7,57,,,
Fabio Fognini,Aggressive Baseliner,1,0,3,7,39,,,
Fabio Fognini,Aggressive Baseliner,0.454545455,0,3,7,44,,,
Fabio Fognini,Aggressive Baseliner,0.677419355,2,3,4,31,,,
Fabio Fognini,Aggressive Baseliner,0.796610169,1,3,2,59,,,
Fabio Fognini,Aggressive Baseliner,0.85,3,9,12,60,,,
Fabio Fognini,Aggressive Baseliner,0.944444444,2,7,4,36,,,
Fabio Fognini,Aggressive Baseliner,1.653846154,3,9,3,26,,,
Fabio Fognini,Aggressive Baseliner,1.772727273,1,10,5,22,,,
Fernando Verdasco,Aggressive Baseliner,0,2,5,14,24,,,
Fernando Verdasco,Aggressive Baseliner,0.788732394,2,12,18,71,,,
Fernando Verdasco,Aggressive Baseliner,0.831460674,0,10,9,89,,,
Fernando Verdasco,Aggressive Baseliner,1.1,3,20,6,40,,,
Fernando Verdasco,Aggressive Baseliner,1.136363636,1,4,5,22,,,
Gael Monfils,Defensive Baseliner,1,1,7,3,21,,,
Gael Monfils,Defensive Baseliner,2,3,5,1,24,,,
Gael Monfils,Defensive Baseliner,0.578947368,0,10,5,57,,,
Gael Monfils,Defensive Baseliner,0.878787879,2,8,4,33,,,
Gael Monfils,Defensive Baseliner,0.897058824,2,2,1,68,,,
Gael Monfils,Defensive Baseliner,1.3,3,13,3,30,,,
Gael Monfils,Defensive Baseliner,1.5,1,26,3,44,,,
Gael Monfils,Defensive Baseliner,1.592592593,3,9,5,27,,,
Jan-Lennard Struff,Aggressive Baseliner,2,2,11,13,30,,,
Jan-Lennard Struff,Aggressive Baseliner,0.327868852,0,2,8,61,,,
Jan-Lennard Struff,Aggressive Baseliner,1.039215686,2,9,5,51,,,
John Isner,Serve and Volleyer,2,1,26,5,39,,,
John Isner,Serve and Volleyer,1,3,16,3,36,,,
John Isner,Serve and Volleyer,0,3,23,2,26,,,
John Isner,Serve and Volleyer,1,0,10,0,23,,,
John Isner,Serve and Volleyer,1.173076923,1,15,2,52,,,
John Isner,Serve and Volleyer,1.586206897,1,27,0,58,,,
John Isner,Serve and Volleyer,1.793103448,0,14,1,29,,,
Kei Nishikori,Defensive Baseliner,0,0,3,8,38,,,
Kei Nishikori,Defensive Baseliner,0.358974359,2,0,1,39,,,
Kei Nishikori,Defensive Baseliner,0.705882353,0,2,1,51,,,
Kei Nishikori,Defensive Baseliner,0.767857143,2,4,5,56,,,
Kei Nishikori,Defensive Baseliner,0.794117647,1,1,5,34,,,
Kei Nishikori,Defensive Baseliner,0.88,3,6,6,50,,,
Kei Nishikori,Defensive Baseliner,1.04,2,2,4,25,,,
Kei Nishikori,Defensive Baseliner,1.111111111,3,3,1,27,,,
Kei Nishikori,Defensive Baseliner,1.111111111,3,5,3,27,,,
Milos Raonic,Serve and Volleyer,1,2,39,11,28,,,
Milos Raonic,Serve and Volleyer,0,3,9,2,38,,,
Milos Raonic,Serve and Volleyer,1,3,28,4,31,,,
Milos Raonic,Serve and Volleyer,2,3,28,6,25,,,
Milos Raonic,Serve and Volleyer,1.282051282,1,21,5,39,,,
Milos Raonic,Serve and Volleyer,1.315789474,0,16,1,38,,,
Milos Raonic,Serve and Volleyer,1.655172414,3,21,7,29,,,
Milos Raonic,Serve and Volleyer,1.694444444,2,16,2,36,,,
Milos Raonic,Serve and Volleyer,1.75,3,27,2,36,,,
Milos Raonic,Serve and Volleyer,1.785714286,0,24,5,42,,,
Novak Djokovic,Defensive Baseliner,0,1,6,2,38,,,
Novak Djokovic,Defensive Baseliner,2,3,3,2,38,,,
Novak Djokovic,Defensive Baseliner,2,3,5,1,25,,,
Novak Djokovic,Defensive Baseliner,0,3,9,6,29,,,
Novak Djokovic,Defensive Baseliner,2,3,10,1,40,,,
Novak Djokovic,Defensive Baseliner,2,3,13,2,28,,,
Novak Djokovic,Defensive Baseliner,0.590909091,0,2,0,22,,,
Novak Djokovic,Defensive Baseliner,0.72,2,5,2,75,,,
Novak Djokovic,Defensive Baseliner,0.75,2,7,1,60,,,
Novak Djokovic,Defensive Baseliner,0.838709677,1,5,0,31,,,
Novak Djokovic,Defensive Baseliner,0.904761905,0,2,2,42,,,
Novak Djokovic,Defensive Baseliner,1.115384615,1,1,2,26,,,
Novak Djokovic,Defensive Baseliner,1.333333333,3,10,0,30,,,
Novak Djokovic,Defensive Baseliner,1.347826087,3,6,1,23,,,
Novak Djokovic,Defensive Baseliner,1.571428571,3,7,2,21,,,
Novak Djokovic,Defensive Baseliner,1.84,1,11,0,25,,,
Novak Djokovic,Defensive Baseliner,2.727272727,3,12,2,11,,,
Pablo Cuevas,Defensive Baseliner,0,1,17,6,38,,,
Pablo Cuevas,Defensive Baseliner,0.58974359,0,2,4,39,,,
Pablo Cuevas,Defensive Baseliner,0.947368421,0,5,6,57,,,
Rafael Nadal,Aggressive Baseliner,2,3,1,1,36,,,
Rafael Nadal,Aggressive Baseliner,0,3,2,0,28,,,
Rafael Nadal,Aggressive Baseliner,0,3,3,0,38,,,
Rafael Nadal,Aggressive Baseliner,2,3,3,1,35,,,
Rafael Nadal,Aggressive Baseliner,0,3,3,2,25,,,
Rafael Nadal,Aggressive Baseliner,1,3,3,5,22,,,
Rafael Nadal,Aggressive Baseliner,0.59375,1,1,3,32,,,
Rafael Nadal,Aggressive Baseliner,0.6,2,5,1,40,,,
Rafael Nadal,Aggressive Baseliner,0.8,1,1,0,25,,,
Rafael Nadal,Aggressive Baseliner,0.893617021,3,3,7,47,,,
Rafael Nadal,Aggressive Baseliner,0.931034483,2,5,2,29,,,
Rafael Nadal,Aggressive Baseliner,1.12,3,3,1,25,,,
Rafael Nadal,Aggressive Baseliner,1.166666667,3,2,0,18,,,
Rafael Nadal,Aggressive Baseliner,1.285714286,3,12,1,28,,,
Rafael Nadal,Aggressive Baseliner,1.386363636,2,6,3,44,,,
Rafael Nadal,Aggressive Baseliner,1.4,1,5,2,25,,,
Rafael Nadal,Aggressive Baseliner,1.538461538,0,2,4,26,,,
Rafael Nadal,Aggressive Baseliner,1.823529412,1,5,0,17,,,
Rafael Nadal,Aggressive Baseliner,2.052631579,3,7,1,19,,,
Rafael Nadal,Aggressive Baseliner,2.6,1,5,1,5,,,
Roberto Bautista Agut,Defensive Baseliner,1,1,2,5,39,,,
Roberto Bautista Agut,Defensive Baseliner,2,3,1,1,37,,,
Roberto Bautista Agut,Defensive Baseliner,0.6,1,5,1,45,,,
Roberto Bautista Agut,Defensive Baseliner,0.913043478,3,4,1,23,,,
Roberto Bautista Agut,Defensive Baseliner,1,3,1,1,1,,,
Roberto Bautista Agut,Defensive Baseliner,1.220338983,3,12,6,59,,,
Roberto Bautista Agut,Defensive Baseliner,1.5,2,6,0,18,,,
Roberto Bautista Agut,Defensive Baseliner,1.545454545,0,1,0,11,,,
Roger Federer,All Court,1,0,5,0,25,,,
Roger Federer,All Court,0,3,6,2,25,,,
Roger Federer,All Court,0,3,8,4,27,,,
Roger Federer,All Court,0,3,12,2,29,,,
Roger Federer,All Court,0.68,0,8,1,50,,,
Roger Federer,All Court,0.735294118,1,0,3,34,,,
Roger Federer,All Court,1.071428571,2,9,2,56,,,
Roger Federer,All Court,1.285714286,3,10,0,42,,,
Roger Federer,All Court,1.485714286,3,11,0,35,,,
Roger Federer,All Court,1.636363636,0,3,,33,,,
Roger Federer,All Court,1.736842105,0,10,0,19,,,
Roger Federer,All Court,1.764705882,3,11,5,17,,,
Roger Federer,All Court,1.80952381,0,7,0,21,,,
Roger Federer,All Court,1.944444444,3,6,1,18,,,
Roger Federer,All Court,2.047619048,3,7,1,21,,,
Sam Querrey,Serve and Volleyer,0,1,25,7,39,,,
Sam Querrey,Serve and Volleyer,0,3,24,4,37,,,
Sam Querrey,Serve and Volleyer,0.658536585,0,10,1,41,,,
Sam Querrey,Serve and Volleyer,1.044444444,3,24,4,45,,,
Sam Querrey,Serve and Volleyer,1.135135135,1,10,1,37,,,
Sam Querrey,Serve and Volleyer,1.22,0,9,7,50,,,
Sam Querrey,Serve and Volleyer,1.392857143,2,8,6,28,,,
Sam Querrey,Serve and Volleyer,1.428571429,3,19,4,21,,,
Stanislas Wawrinka,Aggressive Baseliner,1,2,8,7,40,,,
Stanislas Wawrinka,Aggressive Baseliner,1,3,4,4,20,,,
Stanislas Wawrinka,Aggressive Baseliner,2,3,7,2,40,,,
Stanislas Wawrinka,Aggressive Baseliner,2,3,9,5,26,,,
Stanislas Wawrinka,Aggressive Baseliner,0,3,11,5,38,,,
Stanislas Wawrinka,Aggressive Baseliner,2,3,14,6,31,,,
Stanislas Wawrinka,Aggressive Baseliner,0.575,2,3,4,40,,,
Stanislas Wawrinka,Aggressive Baseliner,0.85,3,17,5,60,,,
Stanislas Wawrinka,Aggressive Baseliner,1.081632653,3,19,2,49,,,
Stanislas Wawrinka,Aggressive Baseliner,1.1,0,9,3,50,,,
Stanislas Wawrinka,Aggressive Baseliner,1.163265306,3,18,4,49,,,
Stanislas Wawrinka,Aggressive Baseliner,1.326086957,3,9,4,46,,,
Stanislas Wawrinka,Aggressive Baseliner,1.515151515,0,19,6,33,,,
Stanislas Wawrinka,Aggressive Baseliner,1.540540541,3,14,3,37,,,
Stanislas Wawrinka,Aggressive Baseliner,1.655172414,1,9,2,29,,,
Stanislas Wawrinka,Aggressive Baseliner,1.672727273,0,13,6,55,,,
Stanislas Wawrinka,Aggressive Baseliner,2.090909091,2,4,1,11,,,
,,,,,,,,,
,,,,,,,1.165777949,1.814569536,35.50993377
